# BounNumSqArithProgProp (SS, quoted from BGP92/CG07, never proved
# there) -- brute-force count vs the elementary explicit bound
#   bound = 1 + (q-1) * tau(M) * q^{m/2} * q^{max(0, DB+1-m)},
#   DB = floor((d + m - 1 - k)/2)
# q|m|k|d|M|A|count|bound|count/q^{d/2}
3|3|1|1|x^3 + x^2 + x + 1|x + 1|0|25|0.000
3|3|1|1|x^3 + x^2 + x + 1|x + 1|0|25|0.000
3|3|1|1|x^3 + x^2 + x + 1|x + 1|0|25|0.000
3|3|1|2|x^3 + x^2 + x + 1|x + 1|0|25|0.000
3|3|1|2|x^3 + x^2 + x + 1|x + 1|0|25|0.000
3|3|1|2|x^3 + x^2 + x + 1|x + 1|1|25|0.333
3|3|1|3|x^3 + x^2 + x + 1|x + 1|0|25|0.000
3|3|1|3|x^3 + x^2 + x + 1|x + 1|0|25|0.000
3|3|1|3|x^3 + x^2 + x + 1|x + 1|3|25|0.577
3|3|1|4|x^3 + x^2 + x + 1|x + 1|0|25|0.000
3|3|1|4|x^3 + x^2 + x + 1|x + 1|0|25|0.000
3|3|1|4|x^3 + x^2 + x + 1|x + 1|3|25|0.333
3|3|1|1|x^3 + x^2 + x + 1|x + 2|0|25|0.000
3|3|1|1|x^3 + x^2 + x + 1|x + 2|0|25|0.000
3|3|1|1|x^3 + x^2 + x + 1|x + 2|0|25|0.000
3|3|1|2|x^3 + x^2 + x + 1|x + 2|0|25|0.000
3|3|1|2|x^3 + x^2 + x + 1|x + 2|0|25|0.000
3|3|1|2|x^3 + x^2 + x + 1|x + 2|1|25|0.333
3|3|1|3|x^3 + x^2 + x + 1|x + 2|0|25|0.000
3|3|1|3|x^3 + x^2 + x + 1|x + 2|0|25|0.000
3|3|1|3|x^3 + x^2 + x + 1|x + 2|1|25|0.192
3|3|1|4|x^3 + x^2 + x + 1|x + 2|0|25|0.000
3|3|1|4|x^3 + x^2 + x + 1|x + 2|0|25|0.000
3|3|1|4|x^3 + x^2 + x + 1|x + 2|1|25|0.111
3|2|0|1|x^2|1|1|19|0.577
3|2|0|1|x^2|1|0|19|0.000
3|2|0|1|x^2|1|0|19|0.000
3|2|0|2|x^2|1|1|19|0.333
3|2|0|2|x^2|1|0|19|0.000
3|2|0|2|x^2|1|3|19|1.000
3|2|0|3|x^2|1|3|55|0.577
3|2|0|3|x^2|1|0|55|0.000
3|2|0|3|x^2|1|9|55|1.732
3|2|0|4|x^2|1|3|55|0.333
3|2|0|4|x^2|1|0|55|0.000
3|2|0|4|x^2|1|9|55|1.000
3|2|1|1|x^2|x + 1|0|19|0.000
3|2|1|1|x^2|x + 1|0|19|0.000
3|2|1|1|x^2|x + 1|1|19|0.577
3|2|1|2|x^2|x + 1|1|19|0.333
3|2|1|2|x^2|x + 1|0|19|0.000
3|2|1|2|x^2|x + 1|3|19|1.000
3|2|1|3|x^2|x + 1|1|19|0.192
3|2|1|3|x^2|x + 1|0|19|0.000
3|2|1|3|x^2|x + 1|3|19|0.577
3|2|1|4|x^2|x + 1|3|55|0.333
3|2|1|4|x^2|x + 1|0|55|0.000
3|2|1|4|x^2|x + 1|9|55|1.000
3|2|1|1|x^2|x + 2|1|19|0.577
3|2|1|1|x^2|x + 2|0|19|0.000
3|2|1|1|x^2|x + 2|1|19|0.577
3|2|1|2|x^2|x + 2|1|19|0.333
3|2|1|2|x^2|x + 2|0|19|0.000
3|2|1|2|x^2|x + 2|3|19|1.000
3|2|1|3|x^2|x + 2|1|19|0.192
3|2|1|3|x^2|x + 2|0|19|0.000
3|2|1|3|x^2|x + 2|3|19|0.577
3|2|1|4|x^2|x + 2|3|55|0.333
3|2|1|4|x^2|x + 2|0|55|0.000
3|2|1|4|x^2|x + 2|9|55|1.000
3|2|0|1|x^2 + 2*x + 1|1|3|19|1.732
3|2|0|1|x^2 + 2*x + 1|1|1|19|0.577
3|2|0|1|x^2 + 2*x + 1|1|0|19|0.000
3|2|0|2|x^2 + 2*x + 1|1|3|19|1.000
3|2|0|2|x^2 + 2*x + 1|1|1|19|0.333
3|2|0|2|x^2 + 2*x + 1|1|3|19|1.000
3|2|0|3|x^2 + 2*x + 1|1|9|55|1.732
3|2|0|3|x^2 + 2*x + 1|1|3|55|0.577
3|2|0|3|x^2 + 2*x + 1|1|9|55|1.732
3|2|0|4|x^2 + 2*x + 1|1|9|55|1.000
3|2|0|4|x^2 + 2*x + 1|1|3|55|0.333
3|2|0|4|x^2 + 2*x + 1|1|9|55|1.000
3|2|1|1|x^2 + 2*x + 1|x + 1|1|19|0.577
3|2|1|1|x^2 + 2*x + 1|x + 1|0|19|0.000
3|2|1|1|x^2 + 2*x + 1|x + 1|1|19|0.577
3|2|1|2|x^2 + 2*x + 1|x + 1|3|19|1.000
3|2|1|2|x^2 + 2*x + 1|x + 1|0|19|0.000
3|2|1|2|x^2 + 2*x + 1|x + 1|3|19|1.000
3|2|1|3|x^2 + 2*x + 1|x + 1|3|19|0.577
3|2|1|3|x^2 + 2*x + 1|x + 1|0|19|0.000
3|2|1|3|x^2 + 2*x + 1|x + 1|3|19|0.577
3|2|1|4|x^2 + 2*x + 1|x + 1|9|55|1.000
3|2|1|4|x^2 + 2*x + 1|x + 1|0|55|0.000
3|2|1|4|x^2 + 2*x + 1|x + 1|9|55|1.000
3|2|1|1|x^2 + 2*x + 1|x + 2|1|19|0.577
3|2|1|1|x^2 + 2*x + 1|x + 2|0|19|0.000
3|2|1|1|x^2 + 2*x + 1|x + 2|1|19|0.577
3|2|1|2|x^2 + 2*x + 1|x + 2|3|19|1.000
3|2|1|2|x^2 + 2*x + 1|x + 2|1|19|0.333
3|2|1|2|x^2 + 2*x + 1|x + 2|3|19|1.000
3|2|1|3|x^2 + 2*x + 1|x + 2|3|19|0.577
3|2|1|3|x^2 + 2*x + 1|x + 2|1|19|0.192
3|2|1|3|x^2 + 2*x + 1|x + 2|3|19|0.577
3|2|1|4|x^2 + 2*x + 1|x + 2|9|55|1.000
3|2|1|4|x^2 + 2*x + 1|x + 2|3|55|0.333
3|2|1|4|x^2 + 2*x + 1|x + 2|9|55|1.000
3|3|0|1|x^3|1|1|25|0.577
3|3|0|1|x^3|1|0|25|0.000
3|3|0|1|x^3|1|1|25|0.577
3|3|0|2|x^3|1|1|25|0.333
3|3|0|2|x^3|1|0|25|0.000
3|3|0|2|x^3|1|3|25|1.000
3|3|0|3|x^3|1|1|25|0.192
3|3|0|3|x^3|1|0|25|0.000
3|3|0|3|x^3|1|3|25|0.577
3|3|0|4|x^3|1|3|73|0.333
3|3|0|4|x^3|1|0|73|0.000
3|3|0|4|x^3|1|9|73|1.000
3|3|1|1|x^3|x + 1|0|25|0.000
3|3|1|1|x^3|x + 1|0|25|0.000
3|3|1|1|x^3|x + 1|0|25|0.000
3|3|1|2|x^3|x + 1|0|25|0.000
3|3|1|2|x^3|x + 1|0|25|0.000
3|3|1|2|x^3|x + 1|1|25|0.333
3|3|1|3|x^3|x + 1|1|25|0.192
3|3|1|3|x^3|x + 1|0|25|0.000
3|3|1|3|x^3|x + 1|3|25|0.577
3|3|1|4|x^3|x + 1|1|25|0.111
3|3|1|4|x^3|x + 1|0|25|0.000
3|3|1|4|x^3|x + 1|3|25|0.333
3|3|1|1|x^3|x + 2|0|25|0.000
3|3|1|1|x^3|x + 2|0|25|0.000
3|3|1|1|x^3|x + 2|0|25|0.000
3|3|1|2|x^3|x + 2|0|25|0.000
3|3|1|2|x^3|x + 2|0|25|0.000
3|3|1|2|x^3|x + 2|1|25|0.333
3|3|1|3|x^3|x + 2|1|25|0.192
3|3|1|3|x^3|x + 2|0|25|0.000
3|3|1|3|x^3|x + 2|3|25|0.577
3|3|1|4|x^3|x + 2|1|25|0.111
3|3|1|4|x^3|x + 2|0|25|0.000
3|3|1|4|x^3|x + 2|3|25|0.333
# adversarial fixture rows (necessity of the q^{m/2} allowance)
# tag|q|m|k|d|M|A|count|bound_without|bound_with
fixture|3|3|1|5|T^3|T|27|25|73
fixture|3|3|1|6|T^3|T|27|25|73
